ID,Title,Definition
4.2.4.2,Expertise Acquisition Process,developing high proficiency in skill.
4.2.4.3,Cognitive Aging Process,changes in cognition with age.
4.2.5,Creative Process,a mental operation involved in generating novel and valuable ideas or products
4.2.5.1,Divergent Thinking Process,generating multiple possible solutions.
4.2.5.2,Convergent Thinking Process,finding single best solution.
4.2.5.3,Problem-Solving Process,finding solutions to obstacles.
4.2.6,Emotional Regulation Process,a mental operation to influence the experience or expression of emotion
4.3,Mental Content,"information, beliefs, or representations held within the mind"
4.3.1,Mental Representation,a mental structure that stands for something else
4.3.1.1,Mental Imagery,"a sensory-like representation generated internally, often resembling the experience of actual perception."
4.3.1.1.1,Sensory Modality-Specific Imagery,mental imagery primarily associated with a particular sensory system.
4.3.1.1.1.1,Visual Imagery,"mental imagery based on sight, including objects, scenes, and spatial layouts."
4.3.1.1.1.1.1,Eidetic Imagery,"unusually vivid, detailed, and persistent visual recall, akin to ""photographic memory."""
4.3.1.1.1.1.2,Fantastical Visual Imagery,"visual imagery of non-existent or impossible scenes (e.g., hallucinations, dreams)."
4.3.1.1.1.2,Auditory Imagery,"mental imagery based on sound, including voices, music, environmental sounds."
4.3.1.1.1.2.1,Musical Imagery,"internal experience of melodies, harmonies, and rhythms."
4.3.1.1.1.2.2,Verbal Imagery,"internal ""hearing"" of words or speech."
4.3.1.1.1.3,Olfactory Imagery,"mental imagery based on smell (e.g., recalling the scent of coffee)."
4.3.1.1.1.4,Gustatory Imagery,"mental imagery based on taste (e.g., recalling the taste of lemon)."
4.3.1.1.1.5,Somatosensory Imagery,mental imagery based on bodily sensations.
4.3.1.1.1.5.1,Tactile Imagery,"mental imagery of touch sensations (e.g., texture, pressure)."
4.3.1.1.1.5.2,Kinesthetic Imagery,"mental imagery of bodily movement or position (e.g., imagining walking)."
4.3.1.1.1.5.3,Thermal Imagery,"mental imagery of temperature sensations (e.g., imagining warmth or cold)."
4.3.1.1.1.5.4,Pain Imagery,mental imagery of pain sensations.
4.3.1.2,Mental Model,"an internal, dynamic representation of a system, situation, or phenomenon that allows for understanding, prediction, and explanation."
4.3.1.2.1,Domain-Specific Mental Model,a mental model tailored to a particular area of knowledge or activity.
4.3.1.2.1.1,System Mental Model,"a mental model of how a particular physical or abstract system operates (e.g., a car engine, computer software)."
4.3.1.2.1.1.1,Functional Mental Model,represents the purpose and intended behavior of system components.
4.3.1.2.1.1.2,Structural Mental Model,represents the physical or logical arrangement of system components.
4.3.1.2.1.1.3,Process Mental Model,represents the sequence of operations or transformations within a system.
4.3.1.2.1.2,Task Mental Model,"a mental model of how to perform a specific task, including goals, steps, and required resources."
4.3.1.2.1.3,Social Mental Model,"a mental model of social interactions, group dynamics, or societal structures."
4.3.1.2.1.3.1,Other Minds Model (Theory of Mind),"model of the beliefs, intentions, and desires of other individuals."
4.3.1.2.1.3.2,Group Dynamics Model,model of how groups behave and interact.
4.3.1.2.2,Situational Model,a dynamic mental model representing the current state and likely future states of an immediate environment or context.
4.3.1.2.2.1,Current State Model,represents what is happening now in the situation.
4.3.1.2.2.1.1,Environmental State Model,"model of the physical surroundings and their properties (e.g., weather, terrain)."
4.3.1.2.2.1.2,System State Model (Situational Context),model of the current configuration and operational status of relevant systems within the situation.
4.3.1.2.2.1.3,Agent State Model (Situational Context),"model of the current internal states (e.g., location, actions, immediate goals) of other agents involved in the situation."
4.3.1.2.2.2,Future State Model,represents predictions or projections of how the situation will evolve.
4.3.1.2.2.2.1,Trend Extrapolation Model,"projection based on observed patterns or trajectories (e.g., speed and direction of a moving object)."
4.3.1.2.2.2.2,Event Prediction Model,"anticipation of specific future events or outcomes (e.g., a collision, a change in system status)."
4.3.1.2.2.2.3,Consequence Projection Model,mental simulation of the potential results of one's own actions or external events on the situation.
4.3.1.2.2.3,Explanatory Model,"represents the underlying reasons, causes, or constraints for the current situation."
4.3.1.2.2.3.1,Causal Attribution Model,understanding why events or behaviors occurred within the situation.
4.3.1.2.2.3.2,Anomaly Explanation Model,providing a reason or rationale for unexpected or unusual observations in the situation.
4.3.1.3,Conceptual Category,"a mental grouping of distinct entities (objects, events, ideas) based on shared properties, relationships, or functions."
4.3.1.3.1,Formation Basis of Category,how a conceptual category is acquired or structured.
4.3.1.3.1.1,Natural Kind Concept,"a conceptual category referring to naturally occurring groupings whose members share intrinsic properties (e.g., ""bird,"" ""water,"" ""tree"")."
4.3.1.3.1.2,Artifact Concept,"a conceptual category referring to human-made objects, often defined by their intended function or design (e.g., ""chair,"" ""hammer"")."
4.3.1.3.1.3,Ad Hoc Category,"a conceptual category formed temporarily for a specific purpose or context, often lacking stable defining features (e.g., ""things to take on a picnic,"" ""things that could fall on your head"")."
4.3.1.3.1.4,Goal-Derived Category,"a conceptual category whose members serve a common goal or satisfy a particular function, regardless of their superficial similarity (e.g., ""things to lose weight,"" ""things to escape a fire"")."
4.3.1.3.2,Structure of Category,the internal organization or representation of a conceptual category.
4.3.1.3.2.1,Prototype Theory of Concepts,"categories are structured around a central, idealized member (the prototype) that best exemplifies the category's features, with graded membership."
4.3.1.3.2.2,Exemplar Theory of Concepts,"categories are represented by a collection of individual stored examples (exemplars) of category members, with new items compared to these stored examples."
4.3.1.3.2.3,Theory-Theory of Concepts,"categories are structured by miniature, implicit theories or explanatory frameworks that guide understanding and classification."
4.3.1.3.2.4,Classical View of Concepts,categories are defined by a set of necessary and sufficient conditions that all members must possess (less commonly held in modern cognitive science).
4.3.1.4,Belief,a mental representation of a proposition or state of affairs accepted by an individual as true or factual.
4.3.1.4.1,Epistemic Status of Belief,classification based on the justification or source of knowledge.
4.3.1.4.1.1,Justified Belief,"a belief held with adequate evidence, reasoning, or support."
4.3.1.4.1.1.1,Empirically Justified Belief,based on sensory experience or observation.
4.3.1.4.1.1.2,Logically Justified Belief,based on principles of reason or formal deduction.
4.3.1.4.1.1.3,Testimonially Justified Belief,based on reliable testimony from others.
4.3.1.4.1.2,Unjustified Belief,a belief held without adequate evidence or reason.
4.3.1.4.1.3,False Belief,a belief that does not correspond to reality.
4.3.1.4.1.4,True Belief,a belief that corresponds to reality.
4.3.1.4.2,Form of Belief,how the belief is held or expressed mentally.
4.3.1.4.2.1,Propositional Belief,"a belief that can be expressed as a declarative statement or proposition (e.g., ""It is raining"")."
4.3.1.4.2.2,Dispositional Belief,"a tendency to act or feel as if a proposition is true, even if not consciously affirmed or considered at every moment."
4.3.1.4.2.3,Occurrent Belief,a belief that is actively present in conscious thought at a given moment.
4.3.1.4.3,Content Domain of Belief,the subject matter of the belief.
4.3.1.4.3.1,Factual Belief,"belief concerning objective states of affairs (e.g., ""Water boils at 100°C"")."
4.3.1.4.3.2,Value Belief,"belief concerning what is good, bad, right, or wrong (e.g., ""Honesty is important"")."
4.3.1.4.3.3,Self-Belief,"belief about one's own characteristics, abilities, or identity."
4.3.1.4.3.4,Social Belief,"belief about social groups, norms, or societal structures."
4.3.1.4.4,Centrality of Belief,the importance or interconnectedness of a belief within an individual's belief system.
4.3.1.4.4.1,Core Belief,"fundamental, often unconscious, and highly resistant to change; forms the foundation of one's worldview."
4.3.1.4.4.2,Peripheral Belief,"less central, more easily changed beliefs that are often derived from or supported by core beliefs."
4.3.1.5,Desire,"a mental representation of a desired outcome, state, or object, accompanied by a motivational pull towards its realization."
4.3.1.5.1,Origin/Nature of Desire,classification based on the source or fundamental drive.
4.3.1.5.1.1,Basic Desire (Primary/Biological),"fundamental, often instinctual desires related to survival and well-being (e.g., for food, water, sleep, safety, procreation)."
4.3.1.5.1.2,Acquired Desire (Secondary/Learned),"desires that are learned or developed through experience, culture, or social interaction (e.g., for money, fame, knowledge)."
4.3.1.5.2,Functional Role of Desire,how the desire relates to other goals or outcomes.
4.3.1.5.2.1,Instrumental Desire,"a desire for something as a means to achieve another, more ultimate desire or goal."
4.3.1.5.2.2,Terminal Desire (Intrinsic),"a desire for something as an end in itself, valued for its own sake."
4.3.1.5.3,Awareness of Desire,the level of conscious access to the desire.
4.3.1.5.3.1,Conscious Desire,a desire that one is explicitly aware of and can articulate.
4.3.1.5.3.2,Unconscious Desire,a desire that operates outside of conscious awareness but influences behavior and thought.
4.3.1.6,Semantic Network,"a mental representation where concepts are nodes and the relationships between them are links, forming a structured knowledge representation."
4.3.1.6.1,Structural Type of Semantic Network,how the network is organized.
4.3.1.6.1.1,Hierarchical Semantic Network,"concepts are organized in a hierarchy, typically using ""is-a"" (subsumption) and ""has-a"" (part-whole) links, allowing for property inheritance."
4.3.1.6.1.2,Propositional Semantic Network,represents knowledge as propositions (statements that can be true or false) where concepts are nodes and relationships form propositions.
4.3.1.6.2,Processing Model of Semantic Network,how information is accessed and processed within the network.
4.3.1.6.2.1,Spreading Activation Model,"activation spreads from an activated node to related nodes, with strength decreasing with distance, explaining priming effects."
4.3.2,Self Representation,a mental structure representing aspects of one's own personhood
4.3.2.1,Self-Concept,overall beliefs about oneself.
4.3.2.2,Personal Identity,sense of continuity and uniqueness of self.
4.3.2.3,Social Identity,part of self-concept from group membership.
4.3.3,Memory Content,stored information accessible through memory processes
4.3.3.1,Episodic Memory Content,memories of specific events.
4.3.3.2,Semantic Memory Content,"general knowledge, facts."
4.3.3.3,Procedural Memory Content,memories of how to do things.
4.3.3.4,Autobiographical Memory Content,memories about one's life.
4.4,Mental Attribute,"an inherent quality, property, or characteristic of the mind or mental entities"
4.4.1,Arousal Dimension,a dimension of intensity or energy in mental states
4.4.1.1,Physiological Arousal,"the physical manifestation of mental arousal, involving bodily systems."
4.4.1.1.1,Autonomic Arousal,arousal mediated by the autonomic nervous system.
4.4.1.1.1.1,Sympathetic Arousal,"'fight or flight' response, increasing heart rate, blood pressure."
4.4.1.1.1.2,Parasympathetic Arousal,"'rest and digest' response, decreasing heart rate, promoting relaxation."
4.4.1.1.2,Cortical Arousal,"arousal related to brain activity and alertness, measured by EEG."
4.4.1.1.2.1,Alpha Wave Dominance,"characteristic of a relaxed, yet alert state."
4.4.1.1.2.2,Beta Wave Dominance,"characteristic of an alert, active, and focused state."
4.4.1.1.2.3,Delta/Theta Wave Dominance,characteristic of deep sleep or highly relaxed/meditative states.
4.4.1.2,Subjective Arousal,the conscious experience of mental intensity or energy.
4.4.1.2.1,High Subjective Arousal,"feelings of being energized, alert, excited, or stressed."
4.4.1.2.2,Low Subjective Arousal,"feelings of being calm, relaxed, sluggish, or bored."
4.4.2,Valence Dimension,a dimension of pleasantness or unpleasantness in mental states
4.4.2.1,Positive Valence,"the inherent quality of being pleasant, desirable, or rewarding."
4.4.2.1.1,Hedonic Pleasure,"direct sensory or emotional pleasure (e.g., taste, warmth, joy)."
4.4.2.1.2,Eudaimonic Well-being Component,"component of well-being derived from meaning, purpose, and self-realization."
4.4.2.2,Negative Valence,"the inherent quality of being unpleasant, undesirable, or aversive."
4.4.2.2.1,Aversive Discomfort,"direct sensory or emotional pain/discomfort (e.g., physical pain, sadness, fear)."
4.4.2.2.2,Threat-Related Aversion,unpleasantness arising from perceived danger or harm.
4.4.2.3,Neutral Valence,the absence of significant pleasantness or unpleasantness.
4.4.3,Mental Capacity,"an inherent ability or potential for mental functioning (e.g., capacity for attention, memory capacity) - Potential for performing mental operations."
4.4.3.1,Cognitive Capacity,an inherent ability or potential for specific cognitive processes.
4.4.3.1.1,Attentional Capacity,the maximum amount of information or stimuli that can be processed simultaneously or maintained in focus.
4.4.3.1.1.1,Sustained Attentional Capacity,potential to maintain focus over prolonged periods.
4.4.3.1.1.2,Divided Attentional Capacity,potential to attend to multiple stimuli or tasks concurrently.
4.4.3.1.2,Memory Capacity,"the inherent potential of the memory system to encode, store, and retrieve information."
4.4.3.1.2.1,Working Memory Capacity,the limited capacity for holding and manipulating information temporarily.
4.4.3.1.2.2,Long-Term Memory Capacity,"the vast, theoretically unlimited capacity for durable storage of information."
4.4.3.1.3,Processing Speed Capacity,the inherent potential for how quickly mental operations can be performed.
4.4.3.1.4,Reasoning Capacity,the inherent potential to draw logical inferences and solve complex problems.
4.4.3.1.4.1,Deductive Reasoning Capacity,potential to derive specific conclusions from general premises.
4.4.3.1.4.2,Inductive Reasoning Capacity,potential to derive general principles from specific observations.
4.4.3.1.5,Problem-Solving Capacity,the inherent potential to find solutions to novel or complex situations.
4.4.3.2,Affective Capacity,an inherent ability or potential related to emotional experience and regulation.
4.4.3.2.1,Emotional Experience Capacity,the potential range and depth of emotions an individual can experience.
4.4.3.2.2,Emotional Regulation Capacity,the potential to manage and adjust one's emotional responses.
4.4.3.3,Volitional Capacity,"an inherent ability or potential related to will, motivation, and goal-directed action."
4.4.3.3.1,Self-Control Capacity,the potential to resist impulses and pursue long-term goals.
4.4.3.3.2,Motivational Capacity,the inherent potential to generate and sustain goal-directed energy.
4.4.4,Mental Structure/Subsystem,"a hypothesized enduring division or component of the mind, often with distinct functions or properties."
4.4.4.1,Levels of Consciousness (Topographical Model),hypothesized layers of mental accessibility.
4.4.4.1.1,Conscious Mind,the part of the mind that holds current awareness and direct experience.
4.4.4.1.1.1,Active Awareness,that which is currently in focal attention.
4.4.4.1.1.2,Peripheral Awareness,that which is currently registered but not in focal attention.
4.4.4.1.2,Preconscious Mind,the part of the mind containing information that is not currently in awareness but can be readily retrieved.
4.4.4.1.2.1,Accessible Memories,non-repressed memories that can be brought to conscious awareness.
4.4.4.1.2.2,Latent Knowledge,knowledge not currently used but retrievable for problem-solving or response.
4.4.4.1.3,Unconscious Mind (Topographical),"the part of the mind containing thoughts, memories, and desires of which one is not aware but which can influence behavior."
4.4.4.1.3.1,Repressed Content,thoughts or memories actively kept out of conscious awareness due to psychological defense mechanisms.
4.4.4.1.3.2,Automatic Processes,cognitive or behavioral operations that occur without conscious awareness or effort.
4.4.4.2,Structural Components of Psyche (Freudian Model),hypothesized functional divisions of the personality.
4.4.4.2.1,Id,"the primitive, instinctual, and pleasure-seeking component of the personality, operating entirely unconsciously, driven by the pleasure principle."
4.4.4.2.1.1,Libido (Id Component),"the psychic energy or drive associated with life instincts, including sexual and pleasure-seeking urges."
4.4.4.2.1.2,Thanatos (Id Component),"the psychic energy or drive associated with death instincts, including aggression and destructive urges."
4.4.4.2.2,Ego,"the largely conscious, rational component of the personality that mediates between the demands of the id, the superego, and reality, operating by the reality principle."
4.4.4.2.2.1,Executive Function (Ego Role),"the planning, decision-making, and self-regulation capacities of the ego."
4.4.4.2.2.2,Defense Mechanism (Ego Role),unconscious strategies used by the ego to protect itself from anxiety or unpleasant thoughts.
4.4.4.2.3,Superego,"the internalized moral component of the personality, representing ideals and societal standards, often operating unconsciously."
4.4.4.2.3.1,Conscience (Superego Component),"the part of the superego that punishes behavior that violates moral standards, leading to guilt."
4.4.4.2.3.2,Ego Ideal (Superego Component),"the part of the superego that represents ideal standards of behavior, leading to feelings of pride when achieved."
4.4.4.3,Archetypes (Jungian Model),"universal, archaic patterns and images that derive from the collective unconscious and are the psychic counterpart of instinct."
4.4.4.3.1,Persona (Archetype),"the social mask or role an individual presents to the world, often for public acceptance."
4.4.4.3.1.1,Social Role Persona,"the specific mask adopted for a particular social context (e.g., professional, student)."
4.4.4.3.1.2,Ideal Self Persona,the persona striving to meet societal expectations of perfection.
4.4.4.3.2,Shadow (Archetype),"the unconscious aspect of the personality that the conscious ego does not identify with, often containing undesirable or repressed qualities."
4.4.4.3.2.1,Personal Shadow,repressed aspects stemming from individual experience.
4.4.4.3.2.2,Collective Shadow,universally denied or repressed aspects of humanity.
4.4.4.3.3,Anima/Animus (Archetype),"the unconscious feminine image in a man (Anima) / masculine image in a woman (Animus), representing the contrasexual soul image."
4.4.4.3.3.1,Anima (Male Psyche),the feminine principle in men.
4.4.4.3.3.2,Animus (Female Psyche),the masculine principle in women.
4.4.4.3.4,Self (Jungian Archetype),"the central archetype, representing the unification and totality of consciousness and unconsciousness, aiming for individuation."
4.4.4.3.4.1,Mandalas (Self Symbol),circular images often symbolizing the unified Self.
4.4.4.3.4.2,Wholeness (Self Characteristic),"the ultimate aim of individuation, representing the integration of all psychic aspects."
4.4.4.3.5,Great Mother (Archetype),"archetype symbolizing nurturing, fertility, and destructive aspects of the feminine principle."
4.4.4.3.6,Wise Old Man (Archetype),"archetype symbolizing wisdom, guidance, and spiritual authority."
4.4.4.3.7,Hero (Archetype),"archetype symbolizing courage, struggle, and overcoming adversity."
4.4.4.4,Core Self (Non-Psychodynamic Models),"concepts representing a fundamental, authentic, and enduring aspect of an individual's identity, distinct from transient thoughts or emotions."
4.4.4.4.1,Narrative Self,"the self as constructed and understood through personal stories, life experiences, and the ongoing integration of past, present, and future."
4.4.4.4.1.1,Autobiographical Narrative Self,the personal story based on episodic memories of one's own life.
4.4.4.4.1.2,Social Narrative Self,the self-story influenced by social interactions and cultural expectations.
4.4.4.4.2,Experiential Self (Minimal Self),"the self as directly experienced in the present moment, encompassing immediate consciousness and agency, often considered pre-reflective."
4.4.4.4.2.1,Embodied Self,the sense of self rooted in one's physical body and its sensations.
4.4.4.4.2.2,Subjective Point of View,the self as the unique perspective from which experiences are perceived.
4.4.4.4.3,True Self (Humanistic),"the authentic, inherent self, often believed to be discovered through self-actualization, distinct from societal or imposed identities."
4.4.4.4.3.1,Actualizing Tendency (Component),the innate drive toward growth and fulfillment of one's potential.
4.4.4.4.3.2,Organismic Valuing Process (Component),the innate capacity to evaluate experiences in terms of whether they promote or hinder actualization.
4.4.4.5,Cognitive Architecture,"a comprehensive theory or model of the structure and function of the human mind, often expressed computationally, specifying how various cognitive processes interact."
4.4.4.5.1,General Problem Solver (GPS) Architecture,an early AI cognitive architecture aiming to simulate human problem-solving through means-ends analysis.
4.4.4.5.1.1,Production Rule System (GPS Component),"""if-then"" rules representing knowledge and actions."
4.4.4.5.1.2,Working Memory (GPS Component),temporary storage for current problem state.
4.4.4.5.2,ACT-R Architecture (Adaptive Control of Thought—Rational),"a cognitive architecture that models human cognition by integrating symbolic and sub-symbolic processing, based on modular components."
4.4.4.5.2.1,Declarative Memory Module (ACT-R),"stores factual and episodic knowledge as ""chunks."""
4.4.4.5.2.2,Procedural Memory Module (ACT-R),stores knowledge about how to do things as production rules.
4.4.4.5.2.2,Decision Cycle (SOAR),"the fundamental process by which SOAR operates, involving elaboration, proposal, deliberation, and application."
4.4.4.5.2.3,Working Memory Buffers (ACT-R),temporary holding places for information from other modules.
4.4.4.5.3,SOAR Architecture (State Operator And Result),a cognitive architecture based on universal subgoaling and chunking to model intelligent behavior.
4.4.4.5.3.1,Long-Term Memory (SOAR),includes procedural and declarative knowledge.
4.4.4.6,Enduring Personality Structure (Trait Models),"stable, measurable predispositions that constitute the fundamental building blocks of an individual's personality, theorized as internal structures."
4.4.4.6.1,Big Five Personality Factors (OCEAN),a widely accepted model proposing five broad dimensions of personality.
4.4.4.6.1.1,Openness to Experience (Factor),"characterized by imagination, intellectual curiosity, and aesthetic sensitivity."
4.4.4.6.1.2,Conscientiousness (Factor),"characterized by organization, self-discipline, and responsibility."
4.4.4.6.1.3,Extraversion (Factor),"characterized by sociability, assertiveness, and energetic behavior."
4.4.4.6.1.4,Agreeableness (Factor),"characterized by compassion, cooperativeness, and trustworthiness."
4.4.4.6.1.5,Neuroticism (Factor),"characterized by emotional instability, anxiety, and negative affect."
4.4.4.6.2,Eysenck's PEN Model,a trait theory proposing three superfactors of personality.
4.4.4.6.2.1,Psychoticism (Factor),"characterized by aggression, impulsivity, and non-conformity."
4.4.4.6.2.2,Extraversion (Factor),characterized by sociability and outgoingness.
4.4.4.6.2.3,Neuroticism (Factor),characterized by emotional instability and anxiety.
4.4.4.6.3,Temperament Factors,"innate, biologically based individual differences in behavioral style and emotional reactivity, appearing early in life."
4.4.4.6.3.1,Activity Level (Temperament),refers to a person's general level of motor activity.
4.4.4.6.3.2,Emotionality (Temperament),refers to the intensity of emotional reactions.
4.4.4.6.3.3,Sociability (Temperament),refers to a person's tendency to affiliate with others.
4.4.4.7,Motivational Drive Systems,"hypothesized internal structures or processes that generate and direct goal-oriented behavior, often rooted in biological or psychological needs."
4.4.4.7.1,Behavioral Activation System (BAS),a hypothesized system regulating motivation to approach rewards and engage in goal-directed behavior.
4.4.4.7.1.1,Drive (BAS Component),the impulse to pursue desired goals.
4.4.4.7.1.2,Reward Responsiveness (BAS Component),sensitivity to positive outcomes and incentives.
4.4.4.7.2,Behavioral Inhibition System (BIS),a hypothesized system regulating motivation to avoid punishments and inhibit behavior in the face of conflict or threat.
4.4.4.7.2.1,Fear (BIS Component),the response to conditioned aversive stimuli.
4.4.4.7.2.2,Anxiety (BIS Component),the response to potential threats or uncertainty.
4.4.4.7.3,Homeostatic Regulation System,"internal systems that maintain physiological equilibrium (e.g., hunger, thirst drives)."
4.4.4.7.3.1,Thirst Drive System,the internal mechanism prompting water intake.
4.4.4.7.3.2,Hunger Drive System,the internal mechanism prompting food intake.
4.4.4.8,Memory Systems (Structural),"distinct, functionally specialized components of the memory apparatus within the mind."
4.4.4.8.1,Sensory Memory System,very brief storage for incoming sensory information.
4.4.4.8.1.1,Iconic Memory,visual sensory memory.
4.4.4.8.1.2,Echoic Memory,auditory sensory memory.
4.4.4.8.2,Working Memory System,a limited-capacity system for temporarily holding and manipulating information during complex cognitive tasks.
4.4.4.8.2.1,Phonological Loop,a component for processing and temporarily storing auditory and verbal information.
4.4.4.8.2.2,Visuospatial Sketchpad,a component for processing and temporarily storing visual and spatial information.
4.4.4.8.2.3,Central Executive,an attentional control system that supervises and coordinates the activity of the phonological loop and visuospatial sketchpad.
4.4.4.8.3,Long-Term Memory System,"a vast, relatively permanent storage system for information."
4.4.4.8.3.1,Declarative Memory System (Explicit Memory),memory for facts and events that can be consciously recalled.
4.4.4.8.3.1.1,Episodic Memory System,memory for specific personal experiences and events with contextual details.
4.4.4.8.3.1.2,Semantic Memory System,"memory for general world knowledge, facts, concepts, and language meaning."
4.4.4.8.3.2,Non-Declarative Memory System (Implicit Memory),"memory for skills, habits, and other forms of learning that are not consciously recalled."
4.4.4.8.3.2.1,Procedural Memory System,"memory for motor skills and habits (e.g., riding a bike)."
4.4.4.8.3.2.2,Priming System,the unconscious influence of previous exposure to a stimulus on subsequent responses.
4.5,Mental Mechanism,an underlying functional system or structure hypothesized to subserve mental processes
4.5.1,Behavioral Activation System,a hypothesized system regulating motivation to approach rewards
4.5.2,Behavioral Avoidance System,a hypothesized system regulating motivation to avoid punishments
4.6,Mental Phenomenon,"a discrete event, occurrence, or subjective experience in the mind that is not primarily defined as a state or ongoing process"
4.6.1,Insight Experience,a sudden realization or understanding
4.7,Mental Condition,"a pattern of mental functioning considered atypical, impaired, or pathological"
4.7.1,Mental Disorder,a clinically recognized pattern of symptoms affecting mental functioning
4.7.1.1,Anxiety Disorder,characterized by excessive worry or fear.
4.7.1.2,Major Depressive Disorder,characterized by persistent sadness or loss of interest.
4.7.1.3,Bipolar Disorder,characterized by mood swings between depression and mania.
4.7.1.4,Post-Traumatic Stress Disorder,develops after experiencing a traumatic event.
5,Social,"The domain encompassing collective entities, structures, processes, and forms arising from the interaction of conscious agents"
5.1,Social Entity,"A unit or agentive grouping within the social domain, characterized by a degree of internal coherence, boundary, and capacity for collective reference or action."
5.1.1,Dyad,A social entity consisting of exactly two interacting individuals.
5.1.1.1,Romantic Dyad,A dyad based on a romantic or marital relationship.
5.1.1.2,Friendship Dyad,A dyad based on a bond of mutual affection and companionship.
5.1.1.3,Professional Dyad,A dyad formed for work-related purposes or within a professional context.
5.1.1.3.1,Mentor-Mentee Dyad,A professional dyad where one individual guides another.
5.1.1.3.2,Collaborative Pair (Professional),A professional dyad working jointly on a task.
5.1.1.4,Kinship Dyad,"A dyad based on family ties (blood, marriage, or adoption)."
5.1.1.4.1,Parent-Child Dyad,
5.1.1.4.2,Sibling Dyad,
5.1.1.4.3,Spousal Dyad,"(overlaps with Romantic Dyad, but emphasizes legal/kinship aspect)"
5.1.1.5,Adversarial Dyad,A dyad characterized by conflict or direct opposition between the two individuals.
5.1.2,Small Group,"A social entity composed of a limited number of individuals (typically 3 to about 20) who interact regularly, share common goals or identity, and perceive themselves as a group."
5.1.2.1,Family Unit,"A small group based on kinship ties, often cohabiting and sharing emotional and material resources."
5.1.2.1.1,Nuclear Family Unit,A family unit typically comprising two parents and their dependent children.
5.1.2.1.2,Extended Family Unit (Cohabiting),A family unit that includes relatives beyond the nuclear family living together or in close proximity and functioning as a single household unit.
5.1.2.2,Peer Group,"A small group of individuals sharing similar age, social status, background, or interests."
5.1.2.2.1,Childhood Peer Group,
5.1.2.2.2,Adolescent Peer Group,
5.1.2.2.3,Professional Peer Group,"(e.g., a small group of colleagues at the same level)"
5.1.2.3,Task Group / Work Team,A small group formed specifically to accomplish a defined task or project.
5.1.2.3.1,Project Team,
5.1.2.3.2,Committee,
5.1.2.3.3,Jury,(as a small task group)
5.1.2.4,Support Group,"A small group whose members provide mutual aid, emotional comfort, and resources for shared challenges or experiences."
5.1.2.5,Clique,"A small, often exclusive, group of individuals who interact frequently and share strong common interests, sometimes exhibiting strong in-group loyalty."
5.1.2.6,Focus Group (Research),A small group of individuals assembled to participate in a guided discussion for qualitative research purposes.
5.1.2.7,Social Club (Small Scale),A small group organized around shared leisure activities or social interests.
5.1.3,Community,"A social entity comprising a group of people with a shared identity, interests, values, or geographic location, who interact and often share a sense of belonging or mutual interdependence."
5.1.3.1,Geographic Community,A community defined by shared physical locality and the social interactions within it.
5.1.3.1.1,Neighborhood Community,A community within a specific residential area of a town or city.
5.1.3.1.2,Village Community,"A small, often rural, geographic community."
5.1.3.1.3,Town Community,A geographic community larger than a village but smaller than a city.
5.1.3.2,Community of Interest,"A community formed around a shared passion, hobby, concern, or intellectual pursuit, not necessarily tied to geography."
5.1.3.2.1,Hobbyist Community,"(e.g., gaming community, gardening club members)"
5.1.3.2.2,Activist Community,"(e.g., a group of environmental activists sharing a common goal)"
5.1.3.2.3,Fan Community / Fandom,"A community built around shared enthusiasm for a particular cultural phenomenon (e.g., a musician, TV series, book)."
5.1.3.3,Community of Practice,A community of people who share a concern or a passion for something they do and learn how to do it better as they interact regularly.
5.1.3.4,Online Community / Virtual Community,"A community whose members primarily interact via digital communication media, often transcending geographical boundaries."
5.1.3.5,Intentional Community,"A planned residential community whose members share explicit common social, economic, or ecological values and goals. (e.g., cohousing, ecovillage, commune)"
5.1.3.6,Ethnic Community,"A community based on shared ethnicity, cultural heritage, traditions, and often language."
5.1.3.7,Religious Congregation / Faith Community,"A community of individuals sharing common religious beliefs and practices, often gathering for worship and mutual support."
5.1.3.8,Professional Community (Broad),"A community of individuals in the same profession or field, sharing knowledge, standards, and experience (can be broader than a single Community of Practice)."
5.1.3.9,Diaspora Community,"A community of people from a common homeland who are dispersed or scattered in other places, maintaining a sense of connection to their origin."
5.1.4,Formal Organization,"A social entity deliberately constructed and structured to achieve specific goals, characterized by explicit rules, roles, and a hierarchy of authority."
5.1.4.1,Governmental Organization,An organization that is part of the structure of a state or public administration.
5.1.4.1.1,Legislative Body,"(e.g., Parliament, Congress, City Council)"
5.1.4.1.2,Executive Agency / Department,"(e.g., Ministry of Health, Environmental Protection Agency)"
5.1.4.1.3,Judicial Body / Court System,"(as an organizational entity, e.g., Supreme Court, District Court)"
5.1.4.1.4,Intergovernmental Organization (IGO),"An organization composed primarily of sovereign states. (e.g., United Nations, World Trade Organization, European Union)"
5.1.4.1.5,Regulatory Agency,A governmental organization responsible for setting and enforcing standards and regulations.
5.1.4.1.6,Public Service Broadcaster,A state-funded or publicly owned media organization.
5.1.4.10,Professional Association / Body,"A formal organization of professionals in a specific field, often for mutual benefit, development, and self-regulation."
5.1.4.11,Labor Union / Trade Union,"A formal organization of workers formed to protect and advance their collective interests regarding wages, benefits, and working conditions."
5.1.4.12,Financial Institution,"A formal organization dealing with financial and monetary transactions. (e.g., Bank, Insurance Company, Investment Firm, Stock Exchange)."
